BenefitType,BenefitCost,Percentage Rise (5 years)
Cell Phone Allowance,14755.0,9.323021149999992
Childcare,331374.72000000003,14.799193324999981
Commuter Benefits,84500.0,12.03434243749997
Flexible Spending Account,119700.0,9.323021149999985
Gym Membership,459476.54,6.664448397499958
Health Insurance,574304.94,20.49264656
Life Insurance,504795.31999999995,4.057850749999996
Professional Development,226950.0,9.32302114999998
Retirement Plan,970275.04,14.799193324999994
Technology Stipend,19125.0,9.323021150000006
Tuition Reimbursement,657895.17,12.03434243749997
Wellness Programs,32750.0,6.664448397499971
