BenefitType,BenefitSubType,CurrentBudget,CurrentUtilization,CurrentSatisfaction,BudgetAllocated,PredictedUtilization,PredictedSatisfaction,CostPerEmployee,PredictedROI,Change
Cell Phone Allowance,Monthly Communications,14755.0,3.6872246696035242,3.066079295154185,131458.7632937045,3.6663317218757747,3.0613702210662566,579.113494685923,0.019381345551252097,-0.004709074087928311
Childcare,After-School Care,112575.0,2.869198312236287,3.0970464135021096,107366.05922446707,2.823890777623689,3.1092432245204393,453.02134693867964,0.019381345551252094,0.0121968110183297
Childcare,On-Site Infant Care,218799.72,2.811715481171548,2.8870292887029287,102632.09888721842,2.890499628079963,2.8793623160660817,429.4230078963114,0.019381345551252097,-0.007666972636847014
Commuter Benefits,Transit Subsidy,84500.0,3.3384615384615386,3.0153846153846153,136702.76979099086,3.3896590535959765,3.006296931615393,525.7798838115033,0.01938134555125209,-0.009087683769222199
Flexible Spending Account,Healthcare FSA,119700.0,3.2781954887218046,3.1954887218045114,139796.3630195156,3.202748501665419,3.1803529814796727,525.5502369154722,0.019381345551252094,-0.015135740324838665
Gym Membership,Family Membership,136150.91999999998,3.301526717557252,3.019083969465649,136517.86556886125,3.371727173589769,2.995157722260776,521.0605556063407,0.019381345551252097,-0.023926247204872908
Gym Membership,Tier 1 Partners,17679.76,3.2863070539419086,3.099585062240664,126132.89262624954,3.2577902644612187,3.1136666610475743,523.3729984491682,0.019381345551252097,0.01408159880691029
Gym Membership,Tier 2 Partners,89369.8,3.3192307692307694,3.0884615384615386,136817.93525060866,3.410722631812632,2.9902479812068274,526.2228278869563,0.019381345551252097,-0.09821355725471115
Gym Membership,Tier 3 Partners,216276.06,3.3935018050541514,2.9458483754512637,145667.9510532588,3.445424409645709,2.9581857517933328,525.8770796146526,0.019381345551252094,0.012337376342069106
Health Insurance,HDHP Individual,20376.55,2.95850622406639,3.033195020746888,116750.32881712733,3.1014364327235695,3.027346350422284,484.44119841131675,0.01938134555125209,-0.0058486703246036775
Health Insurance,HMO Family,158496.0,3.7244094488188977,3.0,142529.27205986646,3.6678970747974686,2.965084910977037,561.138866377427,0.01938134555125209,-0.03491508902296303
Health Insurance,PPO Family,220113.75,3.3417721518987342,3.109704641350211,126753.61913735839,3.4070993673930383,3.04236381597774,534.8253972040438,0.01938134555125209,-0.06734082537247099
Health Insurance,PPO Individual,175318.63999999998,3.1653225806451615,3.1129032258064515,128190.33649151833,3.264239342736117,3.069061113438533,516.896518110961,0.019381345551252097,-0.043842112367918684
Life Insurance,Basic Coverage,40160.399999999994,3.4612244897959186,2.9714285714285715,133427.73321820516,3.502881898872103,3.0132728122217918,544.602992727368,0.019381345551252094,0.041844240793220244
Life Insurance,Dependent Coverage,41385.0,3.336,3.08,134293.45977512212,3.385882001154401,3.07487141995782,537.1738391004884,0.01938134555125209,-0.0051285800421800865
Life Insurance,Supplemental High Amount,224872.96,3.5474137931034484,2.9267241379310347,126786.56684897165,3.6233132089175193,2.923232137881276,546.4938226248778,0.019381345551252094,-0.0034920000497589143
Life Insurance,Supplemental Standard,198376.96,3.65234375,2.96875,145997.71405765088,3.624764112666847,3.0493710007440473,570.3035705376988,0.019381345551252094,0.08062100074404732
Professional Development,Conference Attendance,226950.0,3.50187265917603,3.0262172284644193,145030.9842594194,3.5414901003283026,2.9726749641951886,543.1872069641176,0.019381345551252094,-0.0535422642692307
Retirement Plan,401k Basic Matching,208537.98,3.76890756302521,2.8823529411764706,136736.60243405984,3.8854033455806567,2.865864431227036,574.5235396389069,0.01938134555125209,-0.016488509949434516
Retirement Plan,401k Catch-Up Contributions,127922.15,3.147410358565737,2.7888446215139444,111952.12758124684,3.188849228637675,2.7108692341744134,446.0244126742902,0.019381345551252094,-0.07797538733953102
Retirement Plan,401k High Contribution,69543.04,3.8834586466165413,2.9285714285714284,155864.15704083597,3.9448337705736205,2.8788552951643176,585.9554775971277,0.019381345551252097,-0.049716133407110785
Retirement Plan,401k Investment Fees,182780.46,3.5772357723577235,3.089430894308943,137978.71971252208,3.516065084644353,3.091747532819484,560.8891045224475,0.019381345551252094,0.0023166385105408693
Retirement Plan,401k Maximum Matching,212731.33,3.6266094420600856,2.9742489270386265,129704.87998507323,3.6587314673881197,2.9488574859570567,556.6733046569667,0.019381345551252097,-0.025391441081569877
Retirement Plan,401k Standard Matching,168760.08000000002,3.0531914893617023,3.00709219858156,134020.88708172322,3.1095516108399086,2.962166971129737,475.2513726302242,0.019381345551252094,-0.04492522745182326
Technology Stipend,Monthly Internet Allowance,19125.0,3.4784313725490197,3.023529411764706,141147.82791078326,3.5070713714607833,3.058956769243828,553.5208937677775,0.019381345551252097,0.03542735747912218
Tuition Reimbursement,Graduate Degree,225096.69,3.21978021978022,3.1135531135531136,148295.25230983496,3.3423728023299453,3.149877296777297,543.2060524169779,0.019381345551252097,0.036324183224183404
Tuition Reimbursement,Individual Courses,192512.18,3.3909774436090228,2.819548872180451,130374.3360156374,3.3581850936865973,2.828718743245059,490.12908276555413,0.019381345551252097,0.009169871064607982
Tuition Reimbursement,Professional Certification,86928.81999999999,3.0082644628099175,3.12396694214876,115379.19462366863,2.9669360684769774,3.1144966896739623,476.773531502763,0.019381345551252094,-0.009470252474797825
Tuition Reimbursement,Undergraduate Degree,153357.47999999998,3.2715654952076676,2.9584664536741214,158779.26470785603,3.3714973113148834,2.9161546773070732,507.28199587174447,0.019381345551252097,-0.04231177636704819
Wellness Programs,Premium Discount Tier 1,32750.0,3.236641221374046,3.1068702290076335,132815.76721664364,3.1842874080965684,3.0854606297858207,506.9304092238307,0.019381345551252097,-0.021409599221812847
